datetime,date,time,open,high,low,close,tickvol,vol,spread,bb_middle,bb_upper,bb_lower,bb_bandwidth,bb_position,kc_middle,kc_upper,kc_lower,kc_position,kc_width
2024-01-02 01:00:00,2024.01.02,01:00:00,2062.91,2066.54,2062.8,2065.7,1165,0,7,,,,,,2065.0133333333333,,,,
2024-01-02 01:15:00,2024.01.02,01:15:00,2065.7,2066.32,2065.07,2065.39,956,0,4,,,,,,2065.0685714285714,,,,
2024-01-02 01:30:00,2024.01.02,01:30:00,2065.31,2065.48,2064.07,2064.52,1184,0,20,,,,,,2065.0325170068027,,,,
2024-01-02 01:45:00,2024.01.02,01:45:00,2064.47,2064.56,2063.14,2063.66,973,0,20,,,,,,2064.9138645934563,,,,
2024-01-02 02:00:00,2024.01.02,02:00:00,2063.68,2064.99,2063.31,2064.02,1044,0,4,,,,,,2064.836988600429,,,,
2024-01-02 02:15:00,2024.01.02,02:15:00,2064.05,2064.5,2062.17,2063.32,1413,0,20,,,,,,2064.6934658765786,,,,
2024-01-02 02:30:00,2024.01.02,02:30:00,2063.3,2064.73,2062.8,2064.52,904,0,20,,,,,,2064.6290088089677,,,,
2024-01-02 02:45:00,2024.01.02,02:45:00,2064.5,2065.94,2064.36,2065.45,1446,0,20,,,,,,2064.6881508271613,,,,
2024-01-02 03:00:00,2024.01.02,03:00:00,2065.43,2069.71,2064.88,2069.23,3798,0,20,,,,,,2064.997850748384,,,,
2024-01-02 03:15:00,2024.01.02,03:15:00,2069.21,2069.97,2067.32,2068.49,2227,0,20,,,,,,2065.340277661236,,,,
2024-01-02 03:30:00,2024.01.02,03:30:00,2068.52,2068.59,2066.85,2068.17,2236,0,20,,,,,,2065.5812035982613,2068.7042035982613,2062.458203598261,0.9144726867977553,0.3023846261342573
2024-01-02 03:45:00,2024.01.02,03:45:00,2068.18,2069.18,2066.22,2066.53,1566,0,4,,,,,,2065.745850874617,2069.125350874617,2062.366350874617,0.6160155533929588,0.32719417043187177
2024-01-02 04:00:00,2024.01.02,04:00:00,2066.5,2066.86,2063.89,2064.62,1944,0,20,,,,,,2065.686563489733,2069.300063489733,2062.073063489733,0.35241960844981063,0.34985946695565956
2024-01-02 04:15:00,2024.01.02,04:15:00,2064.62,2067.12,2064.52,2066.72,1457,0,20,,,,,,2065.7278431573773,2069.5183431573773,2061.937343157377,0.6308741383224532,0.3669892926656251
2024-01-02 04:30:00,2024.01.02,04:30:00,2066.68,2068.44,2065.8,2067.44,2134,0,20,,,,,,2065.8705882535,2069.8050882535,2061.9360882535,0.6994423365739066,0.38090478874827244
2024-01-02 04:45:00,2024.01.02,04:45:00,2067.44,2068.31,2067.28,2067.83,1146,0,20,,,,,,2066.0549766738013,2069.794476673801,2062.3154766738016,0.7373343129026285,0.36199423947759646
2024-01-02 05:00:00,2024.01.02,05:00:00,2067.83,2069.56,2066.38,2068.99,1604,0,20,,,,,,2066.269740800106,2070.1967408001055,2062.342740800106,0.8463533485986935,0.3801052614242957
2024-01-02 05:15:00,2024.01.02,05:15:00,2068.97,2070.08,2068.97,2069.72,1325,0,20,,,,,,2066.5859559620003,2070.442455962,2062.7294559620004,0.9063326900038388,0.3732242531576346
2024-01-02 05:30:00,2024.01.02,05:30:00,2069.76,2070.03,2069.35,2069.89,988,0,20,,,,,,2066.8879284100635,2070.1219284100634,2063.6539284100636,0.9641421753148455,0.31293423852812874
2024-01-02 05:45:00,2024.01.02,05:45:00,2069.87,2070.45,2068.53,2069.62,1105,0,20,2066.6915,2070.9959966023916,2062.387003397608,0.004165591818993533,0.8401675353132818,2067.1398717360894,2070.2643717360893,2064.0153717360895,0.8968840236694803,0.3023017496513948
2024-01-02 06:00:00,2024.01.02,06:00:00,2069.65,2070.54,2069.26,2070.28,825,0,4,2066.9205,2071.4699811792116,2062.371018820789,0.004402183034336732,0.8692179248208647,2067.4148045866204,2070.4703045866204,2064.3593045866205,0.9688586832563917,0.2955865454016506
2024-01-02 06:15:00,2024.01.02,06:15:00,2070.38,2070.74,2068.84,2069.48,905,0,4,2067.125,2071.7480098420833,2062.5019901579167,0.0044728885210941,0.7547041949340473,2067.631172403768,2070.5276724037676,2064.734672403768,0.819148557954833,0.28017569464600844
2024-01-02 06:30:00,2024.01.02,06:30:00,2069.5,2070.48,2069.48,2069.92,679,0,4,2067.395,2072.008655817245,2062.7813441827548,0.004463255272693624,0.7736441663639044,2067.8529655081707,2070.4539655081703,2065.251965508171,0.8973538046577643,0.25156527503496534
2024-01-02 06:45:00,2024.01.02,06:45:00,2069.95,2070.32,2068.82,2069.62,1008,0,20,2067.693,2072.0668637381614,2063.319136261839,0.004230670354023699,0.7202857833895187,2068.0180799042178,2070.4540799042175,2065.582079904218,0.8288013332886566,0.23558788229864222
2024-01-02 07:00:00,2024.01.02,07:00:00,2069.67,2071.77,2069.41,2071.67,1322,0,20,2068.0755,2072.4356122691975,2063.7153877308024,0.004216589064758558,0.9122026886089452,2068.29731038953,2070.69131038953,2065.9033103895304,1.2044046805493414,0.23149476508760794
2024-01-02 07:15:00,2024.01.02,07:15:00,2071.69,2071.92,2070.69,2071.46,1466,0,20,2068.4825,2072.4969731908445,2064.4680268091556,0.003881563601185367,0.8708456699611984,2068.588677654019,2071.012677654019,2066.164677654019,1.0922694608046346,0.23436268661675458
2024-01-02 07:30:00,2024.01.02,07:30:00,2071.56,2072.28,2070.73,2072.04,1736,0,20,2068.8585,2072.723906964345,2064.9930930356545,0.0037367533491007836,0.9115349340116632,2068.8834067663347,2071.062906766335,2066.7039067663345,1.2241553644562946,0.2106933617304948
