<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	01:00:00	2062.91	2066.54	2062.80	2065.70	1165	0	7
2024.01.02	01:15:00	2065.70	2066.32	2065.07	2065.39	956	0	4
2024.01.02	01:30:00	2065.31	2065.48	2064.07	2064.52	1184	0	20
2024.01.02	01:45:00	2064.47	2064.56	2063.14	2063.66	973	0	20
2024.01.02	02:00:00	2063.68	2064.99	2063.31	2064.02	1044	0	4
2024.01.02	02:15:00	2064.05	2064.50	2062.17	2063.32	1413	0	20
2024.01.02	02:30:00	2063.30	2064.73	2062.80	2064.52	904	0	20
2024.01.02	02:45:00	2064.50	2065.94	2064.36	2065.45	1446	0	20
2024.01.02	03:00:00	2065.43	2069.71	2064.88	2069.23	3798	0	20
2024.01.02	03:15:00	2069.21	2069.97	2067.32	2068.49	2227	0	20
2024.01.02	03:30:00	2068.52	2068.59	2066.85	2068.17	2236	0	20
2024.01.02	03:45:00	2068.18	2069.18	2066.22	2066.53	1566	0	4
2024.01.02	04:00:00	2066.50	2066.86	2063.89	2064.62	1944	0	20
2024.01.02	04:15:00	2064.62	2067.12	2064.52	2066.72	1457	0	20
2024.01.02	04:30:00	2066.68	2068.44	2065.80	2067.44	2134	0	20
2024.01.02	04:45:00	2067.44	2068.31	2067.28	2067.83	1146	0	20
2024.01.02	05:00:00	2067.83	2069.56	2066.38	2068.99	1604	0	20
2024.01.02	05:15:00	2068.97	2070.08	2068.97	2069.72	1325	0	20
2024.01.02	05:30:00	2069.76	2070.03	2069.35	2069.89	988	0	20
2024.01.02	05:45:00	2069.87	2070.45	2068.53	2069.62	1105	0	20
2024.01.02	06:00:00	2069.65	2070.54	2069.26	2070.28	825	0	4
2024.01.02	06:15:00	2070.38	2070.74	2068.84	2069.48	905	0	4
2024.01.02	06:30:00	2069.50	2070.48	2069.48	2069.92	679	0	4
2024.01.02	06:45:00	2069.95	2070.32	2068.82	2069.62	1008	0	20
2024.01.02	07:00:00	2069.67	2071.77	2069.41	2071.67	1322	0	20
2024.01.02	07:15:00	2071.69	2071.92	2070.69	2071.46	1466	0	20
2024.01.02	07:30:00	2071.56	2072.28	2070.73	2072.04	1736	0	20
2024.01.02	07:45:00	2072.14	2074.95	2071.87	2074.34	2836	0	20
2024.01.02	08:00:00	2074.36	2075.02	2072.85	2074.84	2497	0	20
2024.01.02	08:15:00	2074.65	2076.83	2074.11	2075.87	2507	0	20
2024.01.02	08:30:00	2075.88	2076.69	2074.70	2075.10	4915	0	19
2024.01.02	08:45:00	2075.00	2075.31	2073.72	2074.04	3122	0	19
2024.01.02	09:00:00	2074.01	2075.85	2073.28	2075.40	4913	0	19
2024.01.02	09:15:00	2075.41	2076.51	2074.42	2075.36	5307	0	19
2024.01.02	09:30:00	2075.38	2075.78	2074.60	2075.24	3463	0	16
2024.01.02	09:45:00	2075.24	2075.48	2073.03	2073.27	4798	0	16
2024.01.02	10:00:00	2073.27	2074.60	2072.21	2074.03	6533	0	16
2024.01.02	10:15:00	2074.03	2074.24	2072.15	2072.72	4538	0	16
2024.01.02	10:30:00	2072.72	2074.50	2071.70	2073.98	5792	0	16
2024.01.02	10:45:00	2073.98	2074.07	2072.28	2073.31	3999	0	16
2024.01.02	11:00:00	2073.30	2075.64	2073.17	2074.63	4391	0	16
2024.01.02	11:15:00	2074.63	2075.64	2073.91	2074.65	4394	0	16
2024.01.02	11:30:00	2074.65	2078.99	2074.54	2078.29	5125	0	16
2024.01.02	11:45:00	2078.26	2078.94	2076.66	2077.14	4785	0	16
2024.01.02	12:00:00	2077.14	2077.87	2074.46	2075.06	4253	0	16
2024.01.02	12:15:00	2075.05	2075.43	2073.35	2074.61	4429	0	16
2024.01.02	12:30:00	2074.65	2076.15	2074.28	2075.74	3911	0	16
2024.01.02	12:45:00	2075.72	2076.66	2075.33	2075.98	3842	0	16
2024.01.02	13:00:00	2075.98	2076.27	2073.79	2074.09	4373	0	16
2024.01.02	13:15:00	2073.98	2075.97	2072.74	2075.02	5599	0	16
2024.01.02	13:30:00	2075.03	2075.09	2068.31	2068.90	6471	0	16
2024.01.02	13:45:00	2068.89	2070.39	2068.18	2069.33	5799	0	16
2024.01.02	14:00:00	2069.13	2069.52	2066.16	2066.76	6079	0	16
2024.01.02	14:15:00	2066.76	2067.19	2064.93	2066.14	5648	0	16
2024.01.02	14:30:00	2066.11	2068.42	2065.54	2067.28	5295	0	16
2024.01.02	14:45:00	2067.28	2068.21	2066.59	2067.91	4522	0	16
2024.01.02	15:00:00	2067.90	2068.87	2064.76	2065.68	7417	0	16
2024.01.02	15:15:00	2065.68	2068.70	2065.29	2067.09	8331	0	16
2024.01.02	15:30:00	2067.10	2071.18	2066.85	2069.77	9398	0	16
2024.01.02	15:45:00	2069.76	2069.82	2064.78	2066.37	8551	0	16
2024.01.02	16:00:00	2066.38	2067.40	2064.81	2065.31	7664	0	16
2024.01.02	16:15:00	2065.31	2068.01	2064.52	2066.04	7255	0	16
2024.01.02	16:30:00	2066.03	2069.93	2062.04	2065.88	13765	0	16
2024.01.02	16:45:00	2065.86	2070.52	2065.74	2070.29	15018	0	16
2024.01.02	17:00:00	2070.29	2070.79	2066.45	2067.24	10587	0	16
2024.01.02	17:15:00	2067.24	2067.91	2063.90	2064.83	9514	0	16
2024.01.02	17:30:00	2064.82	2065.35	2055.82	2058.95	15677	0	16
2024.01.02	17:45:00	2058.85	2059.86	2057.19	2059.31	10077	0	16
2024.01.02	18:00:00	2059.32	2067.70	2059.02	2066.44	11619	0	16
2024.01.02	18:15:00	2066.44	2067.01	2064.68	2065.41	7586	0	16
2024.01.02	18:30:00	2065.43	2065.71	2064.00	2065.03	6269	0	16
2024.01.02	18:45:00	2065.03	2067.00	2064.90	2066.06	4224	0	16
2024.01.02	19:00:00	2066.05	2067.03	2064.62	2064.83	3985	0	18
2024.01.02	19:15:00	2064.86	2065.03	2062.65	2064.01	4994	0	18
2024.01.02	19:30:00	2063.98	2065.27	2063.55	2064.54	3442	0	18
2024.01.02	19:45:00	2064.51	2064.64	2061.68	2062.63	4457	0	18
2024.01.02	20:00:00	2062.66	2063.39	2061.32	2062.63	3605	0	18
2024.01.02	20:15:00	2062.62	2065.02	2062.40	2064.49	3358	0	18
2024.01.02	20:30:00	2064.44	2064.47	2061.32	2061.56	3412	0	18
